id,class
220,neg
221,neg
222,neg
223,neg
224,neg
225,neg
226,neg
227,pos
228,neg
229,neg
230,pos
231,pos
232,neg
233,neg
234,neg
235,neg
236,neg
237,pos
238,neg
239,neg
240,neg
241,neg
242,neg
243,neg
244,neg
245,neg
246,neg
247,neg
248,neg
249,neg
250,neg
251,neg
252,neg
253,neg
254,neg
255,neg
256,neg
257,neg
258,neg
259,pos
260,neg
261,neg
262,neg
263,neg
264,neg
265,neg
266,neg
267,neg
268,pos
269,neg
270,neg
271,neg
272,neg
273,neg
274,pos
275,neg
276,neg
277,neg
278,pos
279,neg
280,pos
281,neg
282,neg
283,neg
284,neg
285,neg
286,neg
287,neg
288,neg
289,pos
290,neg
291,neg
292,neg
293,pos
294,pos
295,neg
296,neg
297,pos
298,neg
299,neg
300,neg
301,neg
302,neg
303,neg
304,neg
305,neg
306,neg
307,neg
308,neg
309,neg
310,neg
311,neg
312,neg
313,neg
314,neg
315,neg
316,neg
317,neg
318,neg
319,neg
320,neg
321,neg
322,neg
323,neg
324,neg
325,neg
326,neg
327,neg
328,neg
329,neg
330,neg
331,neg
332,neg
333,neg
334,neg
335,neg
336,neg
337,neg
338,neg
339,neg
340,neg
341,pos
342,pos
343,neg
344,neg
345,neg
346,neg
347,neg
348,neg
349,neg
350,neg
351,neg
352,neg
353,neg
354,neg
355,neg
356,neg
357,neg
358,neg
359,neg
360,pos
361,neg
362,pos
363,neg
364,neg
365,neg
366,neg
367,pos
368,neg
369,neg
370,neg
371,neg
372,pos
373,neg
374,neg
375,neg
376,neg
377,neg
378,neg
379,neg
380,neg
381,neg
382,neg
383,neg
384,neg
385,neg
386,neg
387,neg
388,neg
389,neg
390,neg
391,neg
392,neg
393,neg
394,neg
395,neg
396,neg
397,neg
398,neg
399,neg
400,neg
401,neg
402,neg
403,neg
404,pos
405,neg
406,neg
407,neg
408,neg
409,neg
410,pos
411,neg
412,neg
413,pos
414,neg
415,neg
416,neg
417,neg
418,neg
419,neg
420,neg
421,neg
422,neg
423,neg
424,pos
425,neg
426,neg
427,pos
428,neg
429,neg
430,neg
431,pos
432,neg
433,neg
434,pos
435,pos
436,neg
437,neg
438,neg
439,neg
440,neg
441,neg
442,pos
443,pos
444,neg
445,neg
446,neg
447,neg
448,neg
449,pos
450,neg
451,pos
452,neg
453,neg
454,neg
455,neg
456,pos
457,pos
458,neg
459,neg
460,neg
461,neg
462,neg
463,neg
464,neg
465,neg
466,pos
467,neg
468,neg
469,pos
470,neg
471,neg
472,neg
473,neg
474,neg
475,neg
476,neg
477,neg
478,neg
479,neg
480,neg
481,neg
482,pos
483,neg
484,neg
485,neg
486,neg
487,neg
488,neg
489,neg
490,neg
491,pos
492,pos
493,neg
494,neg
495,pos
496,neg
497,neg
498,neg
499,pos
500,neg
501,neg
502,neg
503,neg
504,neg
505,neg
506,neg
507,neg
508,pos
509,pos
510,neg
511,pos
512,pos
513,neg
514,neg
515,neg
516,neg
517,neg
518,neg
519,neg
520,neg
521,neg
522,neg
523,neg
524,neg
525,pos
526,neg
527,pos
528,pos
529,pos
530,neg
531,neg
532,neg
533,neg
534,pos
535,neg
536,neg
537,pos
538,neg
539,neg
540,neg
541,neg
542,neg
543,neg
544,neg
545,pos
546,neg
547,neg
548,neg
549,neg
550,neg
551,neg
552,neg
553,neg
554,neg
555,neg
556,neg
557,neg
558,neg
559,neg
560,neg
561,neg
562,neg
563,neg
564,neg
565,neg
566,neg
567,pos
568,neg
569,pos
570,pos
571,neg
572,pos
573,neg
574,neg
575,neg
576,neg
577,neg
578,neg
579,pos
580,neg
581,neg
582,neg
583,neg
584,pos
585,neg
586,pos
587,neg
588,pos
589,neg
590,neg
591,neg
592,neg
593,neg
594,neg
595,neg
596,neg
597,neg
598,neg
599,pos
600,neg
601,neg
602,pos
603,neg
604,neg
605,pos
606,neg
607,neg
608,pos
609,neg
610,neg
611,pos
612,neg
613,pos
614,pos
615,neg
616,neg
617,neg
618,neg
619,neg
620,neg
621,neg
622,neg
623,neg
624,neg
625,neg
626,neg
627,neg
628,neg
629,neg
630,neg
631,neg
632,neg
633,neg
634,neg
635,neg
636,neg
637,neg
638,neg
639,neg
640,neg
641,neg
642,neg
643,neg
644,neg
645,neg
646,pos
647,neg
648,neg
649,pos
650,neg
651,neg
652,pos
653,neg
654,neg
655,neg
656,neg
657,neg
658,pos
659,neg
660,neg
661,neg
662,pos
663,neg
664,neg
665,neg
666,neg
667,neg
668,neg
669,neg
670,neg
671,neg
672,neg
673,neg
674,neg
675,neg
676,pos
677,neg
678,neg
679,pos
680,neg
681,neg
682,neg
683,neg
684,neg
685,neg
686,neg
687,neg
688,neg
689,neg
690,neg
691,neg
692,neg
693,neg
694,neg
695,neg
696,neg
697,neg
698,pos
699,neg
700,neg
701,neg
702,neg
703,pos
704,neg
705,neg
706,neg
707,neg
708,neg
709,neg
710,neg
711,neg
712,neg
713,neg
714,neg
715,neg
716,neg
717,neg
718,neg
719,neg
720,neg
721,neg
722,neg
723,pos
724,neg
725,neg
726,neg
727,pos
728,neg
729,pos
730,neg
731,neg
732,neg
733,neg
734,neg
735,neg
736,pos
737,pos
738,neg
739,neg
740,neg
741,neg
742,neg
743,neg
744,neg
745,neg
746,neg
747,neg
748,neg
749,neg
750,neg
751,neg
752,neg
753,neg
754,pos
755,pos
756,neg
757,neg
758,neg
759,pos
760,pos
761,neg
762,neg
763,neg
764,neg
765,neg
766,neg
767,pos
768,neg
769,neg
770,neg
771,neg
772,neg
773,neg
774,neg
775,neg
776,neg
777,neg
778,neg
779,neg
780,neg
781,neg
782,neg
783,neg
784,neg
785,neg
786,neg
787,neg
788,neg
789,neg
790,neg
791,neg
792,pos
793,neg
794,pos
795,neg
796,neg
797,pos
798,neg
799,pos
800,pos
801,neg
802,neg
803,neg
804,neg
805,neg
806,neg
807,neg
808,neg
809,pos
810,pos
811,neg
812,neg
813,neg
814,neg
815,neg
816,neg
817,neg
818,pos
819,neg
820,neg
821,neg
822,neg
823,neg
824,neg
825,neg
826,neg
827,neg
828,pos
829,neg
830,neg
831,neg
832,neg
833,neg
834,pos
835,pos
836,neg
837,pos
838,neg
839,neg
840,pos
841,neg
842,pos
843,neg
844,neg
845,pos
846,neg
847,neg
848,neg
849,neg
850,neg
851,pos
852,neg
853,pos
854,neg
855,neg
856,pos
857,neg
858,neg
859,neg
860,neg
861,neg
862,neg
863,neg
864,neg
865,pos
866,neg
867,neg
868,neg
869,pos
870,neg
871,neg
872,neg
873,neg
874,neg
875,neg
876,neg
877,pos
878,neg
879,neg
880,neg
881,neg
882,pos
883,neg
884,pos
885,neg
886,pos
887,pos
888,neg
889,neg
890,pos
891,pos
892,neg
893,neg
894,neg
895,pos
896,pos
897,neg
898,pos
899,neg
900,neg
901,neg
902,pos
903,pos
904,neg
905,neg
906,neg
907,neg
908,neg
909,pos
910,neg
911,pos
912,neg
913,neg
914,neg
915,pos
916,neg
917,neg
918,neg
919,neg
920,pos
921,neg
922,neg
923,neg
924,neg
925,neg
926,neg
927,neg
928,pos
929,neg
930,neg
931,neg
932,neg
933,neg
934,neg
935,neg
936,neg
937,neg
938,neg
939,neg
940,neg
941,neg
942,neg
943,neg
944,neg
945,neg
946,neg
947,neg
948,neg
949,neg
950,neg
951,pos
952,neg
953,neg
954,neg
955,neg
956,pos
957,neg
958,neg
959,pos
960,neg
961,neg
962,neg
963,neg
964,neg
965,neg
966,neg
967,neg
968,pos
969,neg
970,neg
971,pos
972,neg
973,neg
974,neg
975,neg
976,neg
977,neg
978,neg
979,pos
980,pos
981,neg
982,neg
983,pos
984,neg
985,neg
986,neg
987,neg
988,neg
989,neg
990,pos
991,neg
992,neg
993,pos
994,pos
995,pos
996,neg
997,neg
998,pos
999,neg
1000,pos
1001,neg
1002,neg
1003,neg
1004,neg
1005,neg
1006,neg
1007,pos
1008,neg
1009,neg
1010,neg
1011,pos
1012,neg
1013,neg
1014,neg
1015,neg
1016,neg
1017,neg
1018,neg
1019,neg
1020,neg
1021,neg
1022,neg
1023,pos
1024,neg
1025,neg
1026,neg
1027,neg
1028,neg
1029,pos
1030,neg
1031,neg
1032,neg
1033,neg
1034,neg
1035,pos
1036,neg
1037,pos
1038,neg
1039,neg
1040,neg
1041,neg
1042,neg
1043,neg
1044,neg
1045,neg
1046,neg
1047,neg
1048,neg
1049,neg
1050,neg
1051,pos
1052,neg
1053,neg
1054,neg
1055,neg
1056,neg
1057,neg
1058,neg
1059,neg
1060,neg
1061,neg
1062,neg
1063,neg
1064,neg
1065,neg
1066,pos
1067,neg
1068,neg
1069,neg
1070,neg
1071,neg
1072,neg
1073,pos
1074,pos
1075,pos
1076,neg
1077,neg
1078,neg
1079,neg
1080,neg
1081,neg
1082,neg
1083,neg
1084,neg
1085,neg
1086,neg
1087,neg
1088,neg
1089,neg
1090,pos
1091,neg
1092,neg
1093,pos
1094,neg
1095,pos
1096,neg
1097,neg
1098,pos
1099,neg
1100,pos
1101,neg
1102,neg
1103,neg
1104,neg
1105,neg
1106,neg
1107,neg
1108,neg
1109,pos
1110,neg
1111,pos
1112,neg
1113,neg
1114,neg
1115,pos
1116,neg
1117,neg
1118,neg
1119,neg
1120,neg
1121,neg
1122,neg
1123,pos
1124,neg
1125,neg
1126,pos
1127,neg
1128,neg
1129,pos
1130,pos
1131,neg
1132,pos
1133,neg
1134,neg
1135,neg
1136,neg
1137,neg
1138,neg
1139,neg
1140,neg
1141,neg
1142,neg
1143,neg
1144,neg
1145,neg
1146,neg
1147,neg
1148,neg
1149,pos
1150,neg
1151,neg
1152,pos
1153,neg
1154,neg
1155,neg
1156,neg
1157,neg
1158,neg
1159,neg
1160,neg
1161,neg
1162,pos
1163,neg
1164,neg
1165,neg
1166,neg
1167,pos
1168,neg
1169,neg
1170,pos
1171,neg
1172,neg
1173,neg
1174,neg
1175,neg
1176,pos
1177,neg
1178,neg
1179,neg
1180,neg
1181,pos
1182,neg
1183,neg
1184,neg
1185,pos
1186,neg
1187,neg
1188,neg
1189,neg
1190,neg
1191,neg
1192,neg
1193,neg
1194,neg
1195,neg
1196,neg
1197,neg
1198,neg
1199,neg
1200,neg
1201,pos
1202,neg
1203,neg
1204,neg
1205,neg
1206,neg
1207,neg
1208,neg
1209,neg
1210,neg
1211,pos
1212,neg
1213,neg
1214,neg
1215,pos
1216,pos
1217,neg
1218,neg
1219,neg
1220,neg
1221,neg
1222,neg
1223,neg
1224,neg
1225,pos
1226,neg
1227,neg
1228,pos
1229,neg
1230,neg
1231,neg
1232,neg
1233,neg
1234,neg
1235,neg
1236,neg
1237,neg
1238,neg
1239,neg
1240,pos
1241,neg
1242,neg
1243,neg
1244,neg
1245,neg
1246,pos
1247,neg
1248,neg
1249,pos
1250,neg
1251,pos
1252,neg
1253,neg
1254,neg
1255,neg
1256,neg
1257,neg
1258,neg
1259,pos
1260,neg
1261,neg
1262,neg
1263,pos
1264,neg
1265,neg
1266,neg
1267,neg
1268,neg
1269,neg
1270,neg
1271,neg
1272,neg
1273,neg
1274,neg
1275,neg
1276,neg
1277,neg
1278,pos
1279,neg
1280,pos
1281,pos
1282,neg
1283,neg
1284,neg
1285,neg
1286,neg
1287,neg
1288,neg
1289,pos
1290,pos
1291,neg
1292,neg
1293,neg
1294,neg
1295,neg
1296,neg
1297,pos
1298,neg
1299,neg
1300,neg
1301,neg
1302,neg
1303,neg
1304,neg
1305,neg
1306,neg
1307,neg
1308,neg
1309,neg
1310,neg
1311,neg
1312,neg
1313,neg
1314,neg
1315,neg
1316,neg
1317,neg
1318,neg
1319,neg
1320,neg
1321,neg
1322,neg
1323,neg
1324,neg
1325,neg
1326,neg
1327,pos
1328,pos
1329,neg
1330,pos
1331,neg
1332,neg
1333,neg
1334,neg
1335,neg
1336,neg
1337,neg
1338,pos
1339,neg
1340,neg
1341,pos
1342,neg
1343,neg
1344,neg
1345,neg
1346,neg
1347,neg
1348,neg
1349,neg
1350,pos
1351,neg
1352,neg
1353,neg
1354,neg
1355,neg
1356,pos
1357,neg
1358,neg
1359,neg
1360,neg
1361,neg
1362,neg
1363,neg
1364,neg
1365,neg
1366,pos
1367,pos
1368,neg
1369,pos
1370,neg
1371,neg
1372,pos
1373,neg
1374,neg
1375,neg
1376,neg
1377,neg
1378,neg
1379,pos
1380,pos
1381,pos
1382,neg
1383,neg
1384,neg
1385,neg
1386,neg
1387,neg
1388,pos
1389,pos
1390,neg
1391,neg
1392,pos
1393,neg
1394,neg
1395,pos
1396,neg
1397,neg
1398,pos
1399,neg
1400,neg
1401,pos
1402,neg
1403,neg
1404,neg
1405,neg
1406,neg
1407,pos
1408,neg
1409,neg
1410,pos
1411,neg
1412,neg
1413,neg
1414,neg
1415,neg
1416,neg
1417,neg
1418,neg
1419,neg
1420,neg
1421,neg
1422,neg
1423,neg
1424,neg
1425,neg
1426,pos
1427,neg
1428,neg
1429,neg
1430,neg
1431,neg
1432,neg
1433,neg
1434,neg
1435,neg
1436,neg
1437,neg
1438,neg
1439,neg
1440,neg
1441,neg
1442,neg
1443,neg
1444,neg
1445,neg
1446,neg
1447,pos
1448,neg
1449,neg
1450,neg
1451,neg
1452,pos
1453,neg
1454,neg
1455,neg
1456,neg
1457,neg
1458,neg
1459,neg
1460,pos
1461,neg
1462,neg
1463,pos
1464,neg
1465,neg
1466,neg
1467,neg
1468,pos
1469,neg
1470,neg
1471,neg
1472,neg
1473,neg
1474,neg
1475,neg
1476,neg
1477,neg
1478,pos
1479,neg
1480,neg
1481,neg
1482,pos
1483,neg
1484,neg
1485,neg
1486,neg
1487,neg
1488,neg
1489,pos
1490,neg
1491,neg
1492,neg
1493,neg
1494,neg
1495,neg
1496,neg
1497,neg
1498,neg
1499,neg
1500,pos
1501,neg
1502,neg
1503,pos
1504,neg
1505,neg
1506,neg
1507,pos
1508,neg
1509,neg
1510,neg
1511,neg
1512,neg
1513,neg
1514,neg
1515,neg
1516,neg
1517,pos
1518,pos
1519,pos
1520,neg
1521,neg
1522,neg
1523,neg
1524,neg
1525,neg
1526,neg
1527,pos
1528,neg
1529,neg
1530,neg
1531,neg
1532,neg
1533,neg
1534,neg
1535,neg
1536,neg
1537,neg
1538,neg
1539,neg
1540,neg
1541,pos
1542,neg
1543,neg
1544,neg
1545,neg
1546,neg
1547,pos
1548,neg
1549,neg
1550,neg
1551,neg
1552,neg
1553,neg
1554,neg
1555,neg
1556,neg
1557,pos
1558,pos
1559,neg
1560,neg
1561,neg
1562,neg
1563,neg
1564,neg
1565,neg
1566,neg
1567,pos
1568,neg
1569,neg
1570,neg
1571,neg
1572,neg
1573,neg
1574,pos
1575,neg
1576,neg
1577,neg
1578,pos
1579,neg
1580,neg
1581,pos
1582,neg
1583,neg
1584,neg
1585,neg
1586,neg
1587,neg
1588,neg
1589,pos
1590,neg
1591,pos
1592,neg
1593,pos
1594,neg
1595,neg
1596,neg
1597,neg
1598,pos
1599,neg
1600,pos
1601,neg
1602,neg
1603,pos
1604,neg
1605,neg
1606,neg
1607,neg
1608,neg
1609,pos
1610,pos
1611,pos
1612,neg
1613,neg
1614,pos
1615,neg
1616,neg
1617,neg
1618,neg
1619,neg
1620,neg
1621,neg
1622,neg
1623,neg
1624,neg
1625,neg
1626,neg
1627,neg
1628,pos
1629,neg
1630,neg
1631,neg
1632,neg
1633,neg
1634,neg
1635,pos
1636,pos
1637,pos
1638,neg
1639,neg
1640,neg
1641,neg
1642,neg
1643,neg
1644,pos
1645,pos
1646,pos
1647,neg
1648,neg
1649,neg
1650,pos
1651,neg
1652,neg
1653,neg
1654,neg
1655,neg
1656,neg
1657,neg
1658,neg
1659,neg
1660,neg
1661,neg
1662,neg
1663,neg
1664,neg
1665,neg
1666,neg
1667,neg
1668,neg
1669,neg
1670,pos
1671,neg
1672,neg
1673,neg
1674,neg
1675,neg
1676,neg
1677,neg
1678,neg
1679,neg
1680,neg
1681,pos
1682,neg
1683,pos
1684,neg
1685,neg
1686,pos
1687,neg
1688,neg
1689,neg
1690,neg
1691,neg
1692,neg
1693,neg
1694,neg
1695,neg
1696,pos
1697,neg
1698,neg
1699,neg
1700,neg
1701,neg
1702,pos
1703,neg
1704,neg
1705,neg
1706,neg
1707,neg
1708,neg
1709,neg
1710,neg
1711,neg
1712,neg
1713,pos
1714,neg
1715,neg
1716,neg
1717,neg
1718,pos
1719,neg
1720,neg
1721,neg
1722,neg
1723,neg
1724,neg
1725,neg
1726,neg
1727,neg
1728,neg
1729,neg
1730,neg
1731,neg
1732,neg
1733,neg
1734,neg
1735,neg
1736,neg
1737,neg
1738,neg
1739,neg
1740,pos
1741,pos
1742,pos
1743,neg
1744,neg
1745,neg
1746,neg
1747,pos
1748,neg
1749,neg
1750,neg
1751,neg
1752,neg
1753,neg
1754,neg
1755,neg
1756,pos
1757,neg
1758,neg
1759,neg
1760,neg
1761,neg
1762,neg
1763,neg
1764,pos
1765,neg
1766,pos
1767,neg
1768,pos
1769,pos
1770,pos
1771,neg
1772,neg
1773,pos
1774,neg
1775,pos
1776,neg
1777,neg
1778,neg
1779,neg
1780,neg
1781,neg
1782,neg
1783,neg
1784,neg
1785,neg
1786,neg
1787,neg
1788,neg
1789,neg
1790,neg
1791,neg
1792,neg
1793,neg
1794,neg
1795,neg
1796,neg
1797,pos
1798,neg
1799,pos
1800,neg
1801,neg
1802,neg
1803,neg
1804,neg
1805,neg
1806,neg
1807,neg
1808,neg
1809,neg
1810,neg
1811,neg
1812,neg
1813,neg
1814,neg
1815,pos
1816,neg
1817,pos
1818,neg
1819,pos
1820,neg
1821,neg
1822,neg
1823,neg
1824,neg
1825,neg
1826,neg
1827,neg
1828,neg
1829,neg
1830,pos
1831,neg
1832,pos
1833,neg
1834,neg
1835,neg
1836,neg
1837,neg
1838,neg
1839,neg
1840,neg
1841,pos
1842,neg
1843,neg
1844,neg
1845,neg
1846,neg
1847,neg
1848,neg
1849,neg
1850,neg
1851,neg
1852,pos
1853,pos
1854,neg
1855,neg
1856,neg
1857,neg
1858,pos
1859,pos
1860,neg
1861,pos
1862,neg
1863,neg
1864,neg
1865,neg
1866,neg
1867,pos
1868,neg
1869,neg
1870,neg
1871,neg
1872,neg
1873,neg
1874,neg
1875,neg
1876,neg
1877,pos
1878,neg
1879,pos
1880,neg
1881,neg
1882,pos
1883,neg
1884,neg
1885,neg
1886,neg
1887,neg
1888,neg
1889,pos
1890,neg
1891,neg
1892,pos
1893,neg
1894,neg
1895,neg
1896,neg
1897,neg
1898,neg
1899,neg
1900,neg
1901,neg
1902,neg
1903,neg
1904,neg
1905,neg
1906,neg
1907,neg
1908,neg
1909,neg
1910,neg
1911,pos
1912,neg
1913,neg
1914,neg
1915,neg
1916,neg
1917,neg
1918,neg
1919,neg
1920,pos
1921,neg
1922,neg
1923,neg
1924,neg
1925,neg
1926,neg
1927,neg
1928,neg
1929,neg
1930,pos
1931,neg
1932,neg
1933,neg
1934,neg
1935,pos
1936,neg
1937,neg
1938,neg
1939,neg
1940,neg
1941,neg
1942,neg
1943,neg
1944,neg
1945,neg
1946,neg
1947,neg
1948,pos
1949,neg
1950,neg
1951,neg
1952,neg
1953,pos
1954,neg
1955,pos
1956,pos
1957,neg
1958,neg
1959,neg
1960,pos
1961,neg
1962,neg
1963,pos
1964,neg
1965,pos
1966,pos
1967,neg
1968,pos
1969,neg
1970,neg
1971,pos
1972,neg
1973,pos
1974,pos
1975,neg
1976,neg
1977,pos
1978,neg
1979,neg
1980,neg
1981,neg
1982,neg
1983,neg
1984,neg
1985,neg
1986,pos
1987,pos
1988,neg
1989,neg
1990,neg
1991,neg
1992,neg
1993,neg
1994,neg
1995,neg
1996,neg
1997,neg
1998,neg
1999,pos
2000,neg
2001,neg
2002,pos
2003,pos
2004,neg
2005,neg
2006,neg
2007,neg
2008,neg
2009,neg
2010,neg
2011,neg
2012,neg
2013,pos
2014,neg
2015,neg
2016,neg
2017,neg
2018,neg
2019,neg
2020,neg
2021,neg
2022,neg
2023,neg
2024,neg
2025,neg
2026,neg
2027,neg
2028,pos
2029,pos
2030,neg
2031,neg
2032,neg
2033,neg
2034,neg
2035,neg
2036,neg
2037,neg
2038,neg
2039,neg
2040,pos
2041,neg
2042,neg
2043,neg
2044,neg
2045,neg
2046,neg
2047,neg
2048,neg
2049,neg
2050,neg
2051,neg
2052,neg
2053,neg
2054,neg
2055,neg
2056,neg
2057,neg
2058,neg
2059,neg
2060,neg
2061,neg
2062,neg
2063,neg
2064,neg
2065,neg
2066,neg
2067,neg
2068,pos
2069,neg
2070,neg
2071,neg
2072,neg
2073,neg
2074,neg
2075,neg
2076,neg
2077,neg
2078,neg
2079,neg
2080,pos
2081,neg
2082,neg
2083,neg
2084,pos
2085,pos
2086,neg
2087,neg
2088,neg
2089,neg
2090,neg
2091,neg
2092,neg
2093,pos
2094,neg
2095,neg
2096,neg
2097,neg
2098,neg
2099,neg
2100,neg
2101,neg
2102,neg
2103,neg
2104,pos
2105,pos
2106,neg
2107,pos
2108,neg
2109,neg
2110,neg
2111,pos
2112,neg
2113,pos
2114,neg
2115,pos
2116,neg
2117,neg
2118,neg
2119,neg
2120,neg
2121,neg
2122,neg
2123,neg
2124,neg
2125,neg
2126,neg
2127,neg
2128,neg
2129,neg
2130,neg
2131,neg
2132,neg
2133,neg
2134,neg
2135,neg
2136,neg
2137,neg
2138,neg
2139,neg
2140,neg
2141,neg
2142,neg
2143,neg
2144,neg
2145,neg
2146,neg
2147,neg
2148,neg
2149,neg
2150,neg
2151,neg
2152,pos
2153,neg
2154,neg
2155,neg
2156,neg
2157,neg
2158,pos
2159,neg
2160,neg
2161,neg
2162,neg
2163,neg
2164,neg
2165,neg
2166,pos
2167,neg
2168,neg
2169,neg
2170,neg
2171,neg
2172,neg
2173,neg
2174,neg
2175,pos
2176,neg
2177,neg
2178,neg
2179,neg
2180,neg
2181,neg
2182,neg
2183,neg
2184,neg
2185,neg
2186,neg
2187,neg
2188,pos
2189,neg
2190,neg
2191,neg
2192,neg
2193,neg
2194,neg
2195,neg
2196,neg
2197,neg
2198,neg
2199,neg
2200,neg
2201,neg
2202,neg
2203,neg
2204,neg
2205,pos
2206,neg
2207,neg
2208,neg
2209,neg
2210,neg
2211,neg
2212,neg
2213,neg
2214,neg
2215,neg
2216,pos
2217,neg
2218,neg
2219,neg
2220,neg
2221,neg
2222,neg
2223,pos
2224,neg
2225,pos
2226,pos
2227,neg
2228,neg
2229,neg
2230,neg
2231,neg
2232,neg
2233,neg
2234,neg
2235,neg
2236,neg
2237,neg
2238,neg
2239,neg
2240,neg
2241,neg
2242,neg
2243,neg
2244,neg
2245,pos
2246,neg
2247,neg
2248,neg
2249,neg
2250,neg
2251,neg
2252,neg
2253,neg
2254,neg
2255,neg
2256,pos
2257,neg
2258,neg
2259,neg
2260,neg
2261,neg
2262,neg
2263,neg
2264,neg
2265,pos
2266,neg
2267,neg
2268,neg
2269,neg
2270,neg
2271,neg
2272,pos
2273,neg
2274,pos
2275,neg
2276,neg
2277,neg
2278,pos
2279,pos
2280,neg
2281,neg
2282,pos
2283,neg
2284,neg
2285,pos
2286,neg
2287,pos
2288,pos
2289,neg
2290,neg
2291,neg
2292,neg
2293,pos
2294,neg
2295,neg
2296,pos
2297,neg
2298,neg
2299,neg
2300,neg
2301,neg
2302,neg
2303,neg
2304,neg
2305,neg
2306,neg
2307,neg
2308,neg
2309,neg
2310,pos
2311,neg
2312,neg
2313,neg
2314,neg
2315,neg
2316,pos
2317,neg
2318,neg
2319,pos
2320,neg
2321,neg
2322,neg
2323,neg
2324,pos
2325,neg
2326,neg
2327,neg
2328,neg
2329,neg
2330,neg
2331,neg
2332,neg
2333,neg
2334,neg
2335,neg
2336,neg
2337,neg
2338,neg
2339,pos
2340,neg
2341,neg
2342,neg
2343,neg
2344,neg
2345,neg
2346,neg
2347,neg
2348,neg
2349,pos
2350,neg
2351,neg
2352,neg
2353,pos
2354,pos
2355,neg
2356,neg
2357,neg
2358,neg
2359,neg
2360,pos
2361,neg
2362,pos
2363,neg
2364,pos
2365,pos
2366,pos
2367,pos
2368,pos
2369,neg
2370,neg
2371,neg
2372,neg
2373,neg
2374,neg
2375,neg
2376,neg
2377,neg
2378,pos
2379,neg
2380,neg
2381,neg
2382,neg
2383,neg
2384,neg
2385,neg
2386,neg
2387,neg
2388,neg
2389,neg
2390,pos
2391,neg
2392,neg
2393,neg
2394,neg
2395,neg
2396,pos
2397,neg
2398,neg
2399,pos
2400,neg
2401,neg
2402,pos
2403,pos
2404,neg
2405,neg
2406,neg
2407,neg
2408,neg
2409,pos
2410,neg
2411,neg
2412,pos
2413,pos
2414,neg
2415,neg
2416,pos
2417,neg
2418,neg
2419,pos
2420,pos
2421,pos
2422,neg
2423,pos
2424,neg
2425,neg
2426,neg
2427,neg
2428,neg
2429,neg
2430,pos
2431,neg
2432,neg
2433,neg
2434,neg
2435,neg
2436,pos
2437,neg
2438,neg
2439,neg
2440,neg
2441,neg
2442,neg
2443,neg
2444,neg
2445,neg
2446,neg
2447,pos
2448,neg
2449,neg
2450,neg
2451,neg
2452,neg
2453,neg
2454,neg
2455,neg
2456,pos
2457,neg
2458,pos
2459,neg
2460,neg
2461,neg
2462,pos
2463,neg
2464,pos
2465,neg
2466,pos
2467,neg
2468,neg
2469,neg
2470,neg
2471,neg
2472,neg
2473,neg
2474,pos
2475,neg
2476,pos
2477,neg
2478,neg
2479,neg
2480,neg
2481,pos
2482,neg
2483,neg
2484,neg
2485,pos
2486,neg
2487,neg
2488,neg
2489,neg
2490,neg
2491,neg
2492,neg
2493,neg
2494,neg
2495,neg
2496,neg
2497,neg
2498,neg
